# time Cd
0.025 -22.2507
0.05 -23.8026
0.075 -24.3206
0.1 -23.7849
0.125 -22.808
0.15 -21.1788
0.175 -18.9135
0.2 -16.1503
0.225 -12.8429
0.25 -9.30339
0.275 -5.56411
0.3 -1.68494
0.325 2.35919
0.35 6.41979
0.375 10.2234
0.4 13.9244
0.425 17.3037
0.45 20.2577
0.475 22.6846
0.5 24.5969
0.525 25.9258
0.55 26.704
0.575 26.7266
0.6 25.7679
0.625 24.4934
0.65 22.6291
0.675 20.0725
0.7 17.0738
0.725 13.5648
0.75 9.84603
0.775 5.971
0.8 1.9722
0.825 -2.16154
0.85 -6.28567
0.875 -10.0935
0.9 -13.7711
0.925 -17.0906
0.95 -19.9707
0.975 -22.3099
1 -24.1324
1.025 -25.3929
1.05 -26.1366
1.075 -26.1503
1.1 -25.2318
1.125 -24.0202
1.15 -22.2131
1.175 -19.7937
1.2 -16.9069
1.225 -13.4867
1.25 -9.85996
1.275 -6.04979
1.3 -2.112
1.325 1.98948
1.35 6.10405
1.375 9.94162
1.4 13.6837
1.425 17.0869
1.45 20.0679
1.475 22.5192
1.5 24.4491
1.525 25.7918
1.55 26.5799
1.575 26.6128
1.6 25.6656
1.625 24.3977
1.65 22.5387
1.675 19.9889
1.7 16.9954
1.725 13.4922
1.75 9.77819
1.775 5.9069
1.8 1.91184
1.825 -2.21749
1.85 -6.33679
1.875 -10.1424
1.9 -13.8145
1.925 -17.1315
1.95 -20.0084
1.975 -22.3435
2 -24.1632
