activationTime,arc_length,Points_0,Points_1,Points_2
0.00119062,0.0,0.0,0.0,0.007
0.00119062,0.000214009345590327,0.0002,3e-05,0.00693
0.00119099,0.000428018691180654,0.0004,6e-05,0.00686
0.00119249,0.0006420280367709809,0.0006,8.999999999999999e-05,0.00679
0.00119715,0.000856037382361308,0.0008,0.00012,0.00672
0.00121053,0.001070046727951635,0.001,0.00015000000000000001,0.00665
0.00125179,0.0012840560735419618,0.0012,0.00017999999999999998,0.00658
0.00140597,0.001498065419132289,0.0014000000000000002,0.00021000000000000004,0.00651
0.00165915,0.001712074764722616,0.0016,0.00024,0.00644
0.00186727,0.0019260841103129428,0.0018,0.00027,0.00637
0.00222142,0.00214009345590327,0.002,0.00030000000000000003,0.0063
0.00258046,0.002354102801493597,0.0022,0.00033,0.00623
0.00293565,0.0025681121470839236,0.0024,0.00035999999999999997,0.0061600000000000005
0.00329993,0.002782121492674251,0.0026000000000000003,0.00039000000000000005,0.00609
0.00369641,0.002996130838264578,0.0028000000000000004,0.00042000000000000007,0.00602
0.00408481,0.0032101401838549046,0.003,0.00045,0.00595
0.00444993,0.003424149529445232,0.0032,0.00048,0.00588
0.00481627,0.003638158875035559,0.0034000000000000002,0.00051,0.00581
0.00526769,0.0038521682206258856,0.0036,0.00054,0.00574
0.00563926,0.004066177566216213,0.0038,0.00057,0.00567
0.00622003,0.00428018691180654,0.004,0.0006000000000000001,0.0056
0.00662215,0.004494196257396867,0.0042,0.00063,0.00553
0.00698967,0.004708205602987194,0.0044,0.00066,0.00546
0.00774644,0.004922214948577521,0.0046,0.0006900000000000001,0.00539
0.00809266,0.005136224294167847,0.0048,0.0007199999999999999,0.00532
0.00844165,0.005350233639758175,0.005,0.00075,0.00525
0.00936602,0.005564242985348502,0.005200000000000001,0.0007800000000000001,0.005180000000000001
0.0097448,0.005778252330938829,0.0054,0.0008100000000000001,0.00511
0.0100692,0.005992261676529156,0.005600000000000001,0.0008400000000000001,0.005039999999999999
0.0111217,0.006206271022119482,0.0058,0.00087,0.0049700000000000005
0.0114198,0.006420280367709809,0.006,0.0009,0.0049
0.0117228,0.006634289713300137,0.0062,0.00093,0.00483
0.012861,0.006848299058890464,0.0064,0.00096,0.00476
0.0131418,0.007062308404480791,0.006600000000000001,0.00099,0.00469
0.0135173,0.007276317750071118,0.0068000000000000005,0.00102,0.00462
0.0147166,0.007490327095661444,0.006999999999999999,0.00105,0.00455
0.0149833,0.007704336441251771,0.0072,0.00108,0.00448
0.0152542,0.007918345786842099,0.0074,0.00111,0.004410000000000001
0.0164959,0.008132355132432425,0.0076,0.00114,0.00434
0.0167519,0.008346364478022754,0.0078000000000000005,0.00117,0.0042699999999999995
0.0180408,0.00856037382361308,0.008,0.0012000000000000001,0.0042
0.0184028,0.008774383169203407,0.008199999999999999,0.00123,0.00413
0.0186491,0.008988392514793733,0.0084,0.00126,0.00406
0.019958,0.00920240186038406,0.0086,0.00129,0.0039900000000000005
0.0201942,0.009416411205974388,0.0088,0.00132,0.00392
0.0204336,0.009630420551564715,0.009000000000000001,0.00135,0.00385
0.0217595,0.009844429897155041,0.0092,0.0013800000000000002,0.00378
0.0221291,0.010058439242745368,0.0094,0.00141,0.00371
0.0223614,0.010272448588335694,0.0096,0.0014399999999999999,0.00364
0.0236976,0.010486457933926023,0.0098,0.00147,0.0035700000000000003
0.0239227,0.01070046727951635,0.01,0.0015,0.0035
0.0241503,0.010914476625106676,0.0102,0.0015300000000000001,0.00343
0.0254981,0.011128485970697004,0.010400000000000001,0.0015600000000000002,0.00336
