# time Cd
0.025 -4.85981
0.05 -3.75266
0.075 -3.12808
0.1 -2.80605
0.125 -2.60256
0.15 -2.40306
0.175 -2.19257
0.2 -2.10725
0.225 -2.06098
0.25 -1.88704
0.275 -1.76868
0.3 -1.67573
0.325 -1.45754
0.35 -1.33156
0.375 -1.25681
0.4 -1.20737
0.425 -0.969467
0.45 -0.854258
0.475 -0.730491
0.5 -0.603676
0.525 -0.475103
0.55 -0.264397
0.575 -0.137953
0.6 -0.0230671
0.625 0.136954
0.65 0.264221
0.675 0.407857
0.7 0.567888
0.725 0.662853
0.75 0.837816
0.775 0.956505
0.8 1.07606
0.825 1.20216
0.85 1.3196
0.875 1.41884
0.9 1.54512
0.925 1.6444
0.95 1.75059
0.975 1.84497
1 1.93624
1.025 2.02659
1.05 2.1185
1.075 2.18058
1.1 2.28453
1.125 2.32141
1.15 2.41355
1.175 2.46938
1.2 2.56536
1.225 2.59407
1.25 2.67663
1.275 2.70412
1.3 2.78585
1.325 2.87369
1.35 2.90944
1.375 2.9312
1.4 3.01544
1.425 3.06351
1.45 3.1394
1.475 3.18282
1.5 3.21419
1.525 3.19013
1.55 3.29252
1.575 3.34295
1.6 3.24426
1.625 3.41166
1.65 3.41313
1.675 3.38917
1.7 3.29243
1.725 3.28475
1.75 3.28362
1.775 3.25626
1.8 3.24132
1.825 3.11002
1.85 3.13091
1.875 3.00328
1.9 2.97225
1.925 2.91259
1.95 2.86444
1.975 2.84084
2 2.748
2.025 2.70083
2.05 2.75849
2.075 2.61375
2.1 2.51681
2.125 2.43535
2.15 2.29666
2.175 2.13243
2.2 2.06383
2.225 2.02621
2.25 1.86789
2.275 1.75177
2.3 1.65533
2.325 1.44069
2.35 1.31727
2.375 1.2386
2.4 1.19284
2.425 0.958321
2.45 0.845155
2.475 0.720005
2.5 0.594029
2.525 0.464032
2.55 0.256401
2.575 0.131742
2.6 0.0177488
2.625 -0.142419
2.65 -0.267605
2.675 -0.407946
2.7 -0.567967
2.725 -0.664315
2.75 -0.837556
2.775 -0.955601
2.8 -1.07464
2.825 -1.19983
2.85 -1.31741
2.875 -1.41646
2.9 -1.54255
2.925 -1.64161
2.95 -1.74808
2.975 -1.84346
3 -1.93489
3.025 -2.02632
3.05 -2.1192
3.075 -2.1824
3.1 -2.28914
3.125 -2.32698
3.15 -2.42162
3.175 -2.47888
3.2 -2.58196
3.225 -2.61063
3.25 -2.69796
3.275 -2.72905
3.3 -2.81871
3.325 -2.91953
3.35 -2.96053
3.375 -2.97917
3.4 -3.08621
3.425 -3.14769
3.45 -3.2357
3.475 -3.29118
3.5 -3.351
3.525 -3.33259
3.55 -3.47261
3.575 -3.54085
3.6 -3.43793
3.625 -3.65327
3.65 -3.68333
3.675 -3.66809
3.7 -3.56336
3.725 -3.56584
3.75 -3.5743
3.775 -3.53562
3.8 -3.52506
3.825 -3.36913
3.85 -3.38471
3.875 -3.23109
3.9 -3.18565
3.925 -3.10836
3.95 -3.04338
3.975 -3.00789
4 -2.89783
4.025 -2.83655
4.05 -2.88683
4.075 -2.72529
4.1 -2.6148
4.125 -2.52205
4.15 -2.37084
4.175 -2.19406
4.2 -2.11818
4.225 -2.07505
4.25 -1.90839
4.275 -1.78599
4.3 -1.68442
4.325 -1.46282
4.35 -1.33541
4.375 -1.25387
4.4 -1.20576
4.425 -0.96749
4.45 -0.852422
4.475 -0.724885
4.5 -0.597672
4.525 -0.466538
4.55 -0.257309
4.575 -0.131592
4.6 -0.0173903
4.625 0.143159
4.65 0.269258
4.675 0.41011
4.7 0.5702
4.725 0.666465
4.75 0.839789
4.775 0.957983
4.8 1.07721
4.825 1.20215
4.85 1.3197
4.875 1.41873
4.9 1.54486
4.925 1.64403
4.95 1.75025
4.975 1.84565
5 1.93727
5.025 2.02841
5.05 2.12103
5.075 2.18457
5.1 2.29103
5.125 2.32886
5.15 2.42331
5.175 2.48056
5.2 2.58385
5.225 2.61212
5.25 2.69933
5.275 2.7304
5.3 2.82026
5.325 2.92106
5.35 2.96199
5.375 2.97999
5.4 3.08714
5.425 3.14816
5.45 3.23632
5.475 3.29077
5.5 3.35014
5.525 3.33122
5.55 3.46996
5.575 3.53736
5.6 3.43387
5.625 3.64771
5.65 3.67598
5.675 3.65965
5.7 3.55432
5.725 3.55534
5.75 3.56269
5.775 3.52378
5.8 3.51192
5.825 3.35626
5.85 3.37114
5.875 3.21802
5.9 3.1727
5.925 3.09565
5.95 3.0309
5.975 2.9954
6 2.88574
6.025 2.82476
6.05 2.87483
6.075 2.71391
6.1 2.60397
6.125 2.51168
6.15 2.36125
6.175 2.18538
6.2 2.11008
6.225 2.06706
6.25 1.90131
6.275 1.77961
6.3 1.6789
6.325 1.45837
6.35 1.33146
6.375 1.25047
6.4 1.2029
6.425 0.965435
6.45 0.8509
6.475 0.724224
6.5 0.597487
6.525 0.466538
6.55 0.257871
6.575 0.132438
6.6 0.0185819
6.625 -0.142188
6.65 -0.267746
6.675 -0.408509
6.7 -0.56851
6.725 -0.66488
6.75 -0.838309
6.775 -0.956515
6.8 -1.07561
6.825 -1.20087
6.85 -1.31849
6.875 -1.41747
6.9 -1.54365
6.925 -1.64279
6.95 -1.74917
6.975 -1.84461
7 -1.93602
7.025 -2.02749
7.05 -2.12026
7.075 -2.18367
7.1 -2.29031
7.125 -2.32814
7.15 -2.4227
7.175 -2.47996
7.2 -2.58316
7.225 -2.61158
7.25 -2.69889
7.275 -2.72994
7.3 -2.81984
7.325 -2.92046
7.35 -2.96144
7.375 -2.97965
7.4 -3.08662
7.425 -3.14794
7.45 -3.23589
7.475 -3.29034
7.5 -3.34983
7.525 -3.33091
7.55 -3.46964
7.575 -3.53716
7.6 -3.43374
7.625 -3.64732
7.65 -3.67578
7.675 -3.65983
7.7 -3.55442
7.725 -3.55553
7.75 -3.56291
7.775 -3.52381
7.8 -3.51216
7.825 -3.35645
7.85 -3.3714
7.875 -3.21827
7.9 -3.17283
7.925 -3.09578
7.95 -3.03113
7.975 -2.99557
8 -2.88587
